title,album,release_date,featured_artists,producer_artists,writer_artists,genius_track_id,genius_album_id,artist,file_exists
Nas Is Like,I Am...,1999,[],['DJ Premier'],"['Nas', 'DJ Premier', 'Large Professor', 'Claydes Smith', 'Cleveland Horne', 'Dennis “D.T.” Thomas', 'Gene Redd', 'Gene Redd Jr.', 'George Brown', 'John Bettis', 'Robert “Kool” Bell', 'Robert Spike Mickens', 'Khalis Bayyan', 'Roy Handy', 'Steve Porcaro']",498,7011,Nas,False
Nas Is Good,King’s Disease II,2021,[],['Hit-Boy'],"['Hit-Boy', 'Nas']",7070238,711289,Nas,False
Nas Is Coming,It Was Written,1996,['Dr. Dre'],['Dr. Dre'],"['Nas', 'Dr. Dre']",3463,7040,Nas,False
My Country,Stillmatic,2001,['Nashawn'],['Lofey'],"['Lofey', 'Nashawn', 'Nas']",34876,7029,Nas,False
My Bible,King’s Disease II,2021,[],['Hit-Boy'],"['Nas', 'Hit-Boy']",7070237,711289,Nas,False
Make The World Go Round,Untitled,2008,"['Chris Brown', 'The Game']","['Cool N Dre', 'The Game']","['Nas', 'The Game', 'Cool', 'Dre', 'Eddie “Krack Keys” Montilla']",34888,76781,Nas,False
Motion,Magic 2,2023,[],['Hit-Boy'],"['Nas', 'Hit-Boy']",9346042,1060279,Nas,False
Money Is My Bitch,I Am...,1999,[],"['Al West', 'Trackmasters']","['Nas', 'Tone', 'Poke', 'Al West']",2744,7011,Nas,False
Moments,King’s Disease II,2021,[],"['Jansport J', 'Hit-Boy']","['James Fauntleroy', 'Dr. Jesse Blum', 'Jansport J', 'Nas', 'Hit-Boy']",7070215,711289,Nas,False
Michael & Quincy,King’s Disease III,2022,[],['Hit-Boy'],"['Nas', 'Hit-Boy', 'Dr. Jesse Blum']",8540020,968655,Nas,False
Me & You (Dedicated to Destiny),Street’s Disciple,2004,[],"['Herb Middleton', 'L.E.S.']","['Nas', 'Herb Middleton', 'L.E.S.', 'Marvin Gaye']",34757,7001,Nas,False
Memory Lane (Sittin’ In da Park) [Live],Illmatic: Live from the Kennedy Center with the National Symphony Orchestra,2018,['The National Symphony Orchestra'],['The National Symphony Orchestra'],"['DJ Premier', 'Nas', 'Peg Barsella', 'Reuben Wilson']",3667837,422199,Nas,False
Memory Lane (Sittin’ In Da Park),Illmatic,1994,[],['DJ Premier'],"['Nas', 'DJ Premier', 'Reuben Wilson', 'Peg Barsella']",730,7013,Nas,False
Meet Joe Black,Magic,2021,[],['Hit-Boy'],"['Hit-Boy', 'Nas']",7519223,851851,Nas,False
Money Over Bullshit,Hip Hop Is Dead,2006,[],"['Wyldfyer', 'L.E.S.']","['L.E.S.', 'Wyldfyer', 'Nas']",1338,7009,Nas,False
Just a Moment,Street’s Disciple,2005,['FerQuan'],['L.E.S.'],"['FerQuan', 'Nas', 'L.E.S.', 'Bernard Edwards', 'Nile Rodgers']",34754,7001,Nas,False
Meet Joe Black (Instrumental),Magic (Instrumentals),2023,[],['Hit-Boy'],"['Nas', 'Hit-Boy']",9534315,1083914,Nas,False
Jarreau of Rap (Skatt Attack),The Lost Tapes 2,2019,"['Al Jarreau', 'Keyon Harrold']",['Xharlie Black'],"['Nas', 'Keyon Harrold', 'Eddie Cole', 'Dave Brubeck', 'Al Jarreau']",4672343,541359,Nas,False
Hold Down the Block,Hip Hop Is Dead,2006,[],['Mark Batson'],"['Mark Batson', 'Nas']",34794,7009,Nas,False
Hip Hop Is Dead,Hip Hop Is Dead,2006,[],['\u200bwill.i.am'],"['\u200bwill.i.am', 'Doug Ingle', 'Jerry Lordan', 'Nas']",1446,7009,Nas,False
Highly Favored,The Lost Tapes 2,2019,[],['RZA'],"['Nas', 'RZA', 'Raymond Jackson', 'Carl Hampton', 'Homer Banks']",4672353,541359,Nas,False
Hey Nas,God’s Son,2002,"['Kelis', 'Claudette Ortiz']",['Salaam Remi'],"['Nas', 'Salaam Remi', 'Keni Burke', 'Allan Felder', 'Norma Jean Wright']",34782,7006,Nas,False
Hero,The Nigger Tape,2008,['Keri Hilson'],['Polow da Don'],"['J. Sublett', 'Keri Hilson', 'Amber Rives', 'Nelly', 'Polow da Don', 'Nas']",1966,159773,Nas,False
Heaven,God’s Son,2002,['Jully Black'],['Agile'],"['Nas', 'Jully Black', 'Agile', 'Saukrates', 'Eddie Holman', 'Sheila Holman']",3613,7006,Nas,False
Hate Me Now,I Am...,1999,['Diddy'],"['Trackmasters', 'D Moet', 'Pretty Boy']","['Nas', 'Tone', 'Poke', 'D Moet', 'Pretty Boy']",864,7011,Nas,False
Hollywood Gangsta,Magic,2021,[],['Hit-Boy'],"['Hit-Boy', 'Nas']",7519226,851851,Nas,False
Halftime,Illmatic,1992,[],['Large Professor'],"['Nas', 'Large Professor', 'Gary Byrd']",108,7013,Nas,False
God’s Son [Credits],God’s Son,2002,[],[],[],2837663,7006,Nas,False
God Love Us,Nastradamus,1999,[],['Dame Grease'],"['Nas', 'Dame Grease']",34826,7015,Nas,False
Ghetto Reporter,King’s Disease III,2022,[],['Hit-Boy'],"['Nas', 'Hit-Boy', 'Alan Watts', 'Dr. Jesse Blum', 'Boreta', 'Lionel Richie']",8540015,968655,Nas,False
Ghetto (Remix),The Nigger Tape,2008,['Joell Ortiz'],['DJ Green Lantern'],"['Joell Ortiz', 'Nas']",3547362,159773,Nas,False
Ghetto Prisoners,I Am...,1999,[],['Dame Grease'],"['Nas', 'Dame Grease']",3473,7011,Nas,False
Jodeci Member,Magic 3,2023,[],['Hit-Boy'],"['Nas', 'Hit-Boy', 'George Kerr']",9520288,1081426,Nas,False
Getting Married,Street’s Disciple,2004,[],['Chucky Thompson'],"['Nas', 'Chucky Thompson', 'Isaac Hayes']",34759,7001,Nas,False
Got Ur Self a Gun,Stillmatic,2001,[],['Megahertz'],"['Nas', 'Megahertz', 'Jake Black', 'Simon Edwards', 'Piers Marsh', 'Rob Spragg', 'Howlin’ Wolf']",654,7029,Nas,False
Hollywood Gangsta (Instrumental),Magic (Instrumentals),2023,[],['Hit-Boy'],"['Nas', 'Hit-Boy']",9534318,1083914,Nas,False
Halftime (Live),Illmatic: Live from the Kennedy Center with the National Symphony Orchestra,2018,['The National Symphony Orchestra'],['The National Symphony Orchestra'],"['Nas', 'Large Professor', 'Gary Byrd']",3667836,422199,Nas,False
Hope - Acapella Version,Hip Hop Is Dead,2006,[],"['Spanador', 'Nas', 'L.E.S.']","['Nas', 'L.E.S.']",3665,7009,Nas,False
I Want to Talk to You,I Am...,1999,[],"['L.E.S.', 'Al West']","['Nas', 'L.E.S.', 'Al West']",3475,7011,Nas,False
Hood2Hood,King’s Disease III,2022,[],['Hit-Boy'],"['Nas', 'Hit-Boy', 'Q Gulledge']",8540021,968655,Nas,False
It Never Ends,The Lost Tapes 2,2019,[],['The Alchemist'],"['Nas', 'The Alchemist', 'Kenny Craddock', 'Colin Gibson']",4672355,541359,Nas,False
It Ain’t Hard to Tell (Stink Mix),Illmatic XX,2014,[],['Dave Scratch'],[],352349,80776,Nas,False
It Ain’t Hard To Tell (Live),Illmatic: Live from the Kennedy Center with the National Symphony Orchestra,2018,['The National Symphony Orchestra'],['The National Symphony Orchestra'],"['Nas', 'Large Professor']",3667841,422199,Nas,False
It Ain’t Hard to Tell (10th Anniversary Remix),Illmatic 10th Anniversary Platinum Edition,2004,[],['Nick “Fury” Loftin'],['Nas'],34748,80987,Nas,False
It Ain’t Hard to Tell,Illmatic,1994,[],['Large Professor'],"['Nas', 'Large Professor']",729,7013,Nas,False
Intro (The Nigger Tape),The Nigger Tape,2008,[],['DJ Green Lantern'],['DJ Green Lantern'],3547359,159773,Nas,False
Intro (Street’s Disciple),Street’s Disciple,2004,[],"['Chucky Thompson', 'Salaam Remi']","['Isaac Hayes', 'Salaam Remi', 'Chucky Thompson', 'L.E.S.', 'Nas']",34756,7001,Nas,False
Japanese Soul Bar,Magic 3,2023,[],['Hit-Boy'],"['Nas', 'Hit-Boy']",9520291,1081426,Nas,False
Intro,Magic 2,2023,[],['Hit-Boy'],"['Nas', 'Hit-Boy', 'Jerry Herman']",9346039,1060279,Nas,False
I’m on Fire,King’s Disease III,2022,[],['Hit-Boy'],"['Nas', 'Hit-Boy', 'Eugene Record']",8540025,968655,Nas,False
I’m a Villain,Illmatic XX,2014,[],['Jae Supreme'],"['Nas', 'Jae Supreme']",50858,80776,Nas,False
I Love This Feeling,Magic 3,2023,[],['Hit-Boy'],"['Nas', 'Hit-Boy', 'Dexter Wansel']",9520267,1081426,Nas,False
I Gave You Power,It Was Written,1996,[],['DJ Premier'],"['Nas', 'DJ Premier']",953,7040,Nas,False
If I Ruled the World (Imagine That),It Was Written,1996,['Lauryn Hill'],['Trackmasters'],"['Nas', 'Tone', 'Poke', 'Kurtis Blow', 'Davy DMX', 'Larry Smith', 'AJ Scratch', 'Jalil Hutchins', 'Norman Harris', 'Allan Felder']",1590,7040,Nas,False
I Can,God’s Son,2003,[],['Salaam Remi'],"['Nas', 'Salaam Remi', 'Roy C', 'Ludwig van Beethoven']",614,7006,Nas,False
Hustlers,Hip Hop Is Dead,2006,"['The Game', 'Marsha Ambrosius']",['Dr. Dre'],"['Dr. Dre', 'Mike Elizondo', 'Nas', 'The Game', 'Marsha Ambrosius']",56243,7009,Nas,False
Put That On Me,"Bullets Ain’t Got No Name, Vol. 1",2008,[],['DJ Felli Fel'],"['Nipsey Hussle', 'DJ Felli Fel']",392523,13792,Nipsey Hussle,False
Piss Poor,"Bullets Ain’t Got No Name, Vol. II",2008,['Cuzzy Capone'],['Ari Levine'],"['Cuzzy Capone', 'Nipsey Hussle']",4438158,28356,Nipsey Hussle,False
Picture Me Rollin’,Slauson Boy 2,2016,['OverDoz.'],"['Rance', 'Jake One', 'Tariq Beats', 'Mike & Keys']","['Nipsey Hussle', 'Rance', 'Jake One', 'Tariq Beats', 'Mike & Keys', 'OverDoz.']",2819599,163823,Nipsey Hussle,False
Overtime,Mailbox Money,2014,[],"['Ralo Stylez', '1500 or Nothin’']",['Nipsey Hussle'],659767,116192,Nipsey Hussle,False
Paid My Dues,"Bullets Ain’t Got No Name, Vol. 1",2008,['Kokane'],"['DJ Skee', 'DJ Felli Fel']","['Nipsey Hussle', 'Kokane', 'DJ Skee', 'DJ Felli Fel']",181126,13792,Nipsey Hussle,False
Outro,"Bullets Ain’t Got No Name, Vol. 1",2011,[],['DJ Felli Fel'],"['Nipsey Hussle', 'DJ Felli Fel']",70316,13792,Nipsey Hussle,False
On Tha Floor,Slauson Boy 2,2016,['Cuzzy Capone'],"['DJ Khalil', 'Mike & Keys']","['Cuzzy Capone', 'Nipsey Hussle', 'DJ Khalil', 'Mike & Keys']",2835540,163823,Nipsey Hussle,False
Question #1,Slauson Boy 2,2016,['Snoop Dogg'],"['Mike & Keys', 'My Guy Mars']","['Snoop Dogg', 'Nipsey Hussle', 'Mike & Keys', 'My Guy Mars']",2506635,163823,Nipsey Hussle,False
Payback,"Bullets Ain’t Got No Name, Vol. 3",2009,[],[],"['Nipsey Hussle', 'Jimmy McCracklin']",98797,19605,Nipsey Hussle,False
Outro (Things Ain’t Been the Same),"Slauson Boy, Vol. 1",2005,[],['Ralo Stylez'],"['Michael Stokes', 'Emanuel “E.J.” Johnson', 'Nipsey Hussle', 'Ralo Stylez']",4437742,517476,Nipsey Hussle,False
Remind Me of My D,"Slauson Boy, Vol. 1",2005,[],['Ralo Stylez'],"['Nipsey Hussle', 'Ralo Stylez']",4437731,517476,Nipsey Hussle,False
Racks in the Middle,NH2*,2019,"['Roddy Ricch', 'Hit-Boy']","['G-Dav', 'Corbett', 'Hit-Boy']","['Corbett', 'G-Dav', 'Hit-Boy', 'Roddy Ricch', 'Nipsey Hussle']",4305882,783709,Nipsey Hussle,False
Rap Music,"Bullets Ain’t Got No Name, Vol. 3",2009,['June Summers'],['The Jack Moves'],"['June Summers', 'Nipsey Hussle', 'The Jack Moves']",82859,19605,Nipsey Hussle,False
Rap Niggas,Victory Lap,2017,[],"['DJ Khalil', 'Rance', 'Mike & Keys']","['Nipsey Hussle', 'DJ Khalil', 'Rance', 'John Groover', 'Michael Ray Cox Jr.', 'Mike & Keys']",3207981,78280,Nipsey Hussle,False
Real Big,Victory Lap,2018,['Marsha Ambrosius'],"['My Guy Mars', 'Rance', 'Mike & Keys']","['Nipsey Hussle', 'Marsha Ambrosius', 'Rance', 'John Groover', 'Michael Ray Cox Jr.', 'Alexandria Dopson', 'Rose Gold', 'My Guy Mars', 'Mike & Keys']",3510808,78280,Nipsey Hussle,False
Reality,"Bullets Ain’t Got No Name, Vol. 1",2008,"['Ty Nati (Rapper)', 'Numbers', 'Eddie B']",['DJ Felli Fel'],"['Nipsey Hussle', 'Ty Nati (Rapper)', 'Numbers', 'Eddie B', 'DJ Felli Fel']",402010,13792,Nipsey Hussle,False
Real Nigga Moves,Mailbox Money,2014,['DOM KENNEDY'],"['Mike & Keys', '1500 or Nothin’', 'Uncle Dave']","['DOM KENNEDY', 'Nipsey Hussle']",660211,116192,Nipsey Hussle,False
Return of the Swagg,"The Leaks, Vol. 1",2010,['Iyaz'],['J.R. Rotem'],"['Iyaz', 'Nipsey Hussle']",4497166,523497,Nipsey Hussle,False
Rich Roll,"Bullets Ain’t Got No Name, Vol. II",2008,['Tasleema'],['Mental Instruments'],"['Nipsey Hussle', 'Tasleema', 'J-Hype', 'Mental Instruments']",396740,28356,Nipsey Hussle,False
On Tha Blocc,"Slauson Boy, Vol. 1",2005,"['Cuzzy Capone', 'MuN']",['Ralo Stylez'],"['Cuzzy Capone', 'MuN', 'Nipsey Hussle', 'Ralo Stylez']",4437712,517476,Nipsey Hussle,False
Ridin’ Slow,"Bullets Ain’t Got No Name, Vol. 1",2008,"['Bun B', 'Question', 'Sean Kingston']","['J.R. Rotem', 'DJ Felli Fel']","['Nipsey Hussle', 'Bun B', 'Question', 'Sean Kingston', 'J.R. Rotem', 'DJ Felli Fel']",4438109,13792,Nipsey Hussle,False
